"field","data_id","plot","yield_tha","year","distance_to_tree_strip","tree_species","crop_unified","Latitude","Longitude","minLatitude","minLongitude","maxLatitude","maxLongitude","Area","swf_year","radius","prop_swf"
"Dornburg","signal16","D_AF_r1_1m",3.0214,2016,1,"poplar","barley",51.013670425542,11.6444159413612,51.009302829,11.63749261,51.0171626260001,11.6538903490001,536642.463782163,"prop_swf.2015",100,0
"Dornburg","signal16","D_AF_r1_1m",3.0214,2016,1,"poplar","barley",51.013670425542,11.6444159413612,51.009302829,11.63749261,51.0171626260001,11.6538903490001,536642.463782163,"prop_swf.2015",150,0
"Dornburg","signal16","D_AF_r1_1m",3.0214,2016,1,"poplar","barley",51.013670425542,11.6444159413612,51.009302829,11.63749261,51.0171626260001,11.6538903490001,536642.463782163,"prop_swf.2015",200,0
"Dornburg","signal16","D_AF_r1_1m",3.0214,2016,1,"poplar","barley",51.013670425542,11.6444159413612,51.009302829,11.63749261,51.0171626260001,11.6538903490001,536642.463782163,"prop_swf.2015",250,0
"Dornburg","signal16","D_AF_r1_1m",3.0214,2016,1,"poplar","barley",51.013670425542,11.6444159413612,51.009302829,11.63749261,51.0171626260001,11.6538903490001,536642.463782163,"prop_swf.2015",300,0.00984365952518819
"Dornburg","signal16","D_AF_r1_1m",3.0214,2016,1,"poplar","barley",51.013670425542,11.6444159413612,51.009302829,11.63749261,51.0171626260001,11.6538903490001,536642.463782163,"prop_swf.2015",350,0.0210371819960861
"Dornburg","signal16","D_AF_r1_1m",3.0214,2016,1,"poplar","barley",51.013670425542,11.6444159413612,51.009302829,11.63749261,51.0171626260001,11.6538903490001,536642.463782163,"prop_swf.2015",400,0.0246493837654059
"Dornburg","signal16","D_AF_r1_1m",3.0214,2016,1,"poplar","barley",51.013670425542,11.6444159413612,51.009302829,11.63749261,51.0171626260001,11.6538903490001,536642.463782163,"prop_swf.2015",450,0.00187160771102377
"Dornburg","signal16","D_AF_r1_1m",3.0214,2016,1,"poplar","barley",51.013670425542,11.6444159413612,51.009302829,11.63749261,51.0171626260001,11.6538903490001,536642.463782163,"prop_swf.2015",50,0
"Dornburg","signal16","D_AF_r1_1m",3.0214,2016,1,"poplar","barley",51.013670425542,11.6444159413612,51.009302829,11.63749261,51.0171626260001,11.6538903490001,536642.463782163,"prop_swf.2015",500,0.00234781150427637
"Dornburg","signal16","D_AF_r1_4m",4.4382,2016,4,"poplar","barley",51.013670425542,11.6444159413612,51.009302829,11.63749261,51.0171626260001,11.6538903490001,536642.463782163,"prop_swf.2015",100,0
"Dornburg","signal16","D_AF_r1_4m",4.4382,2016,4,"poplar","barley",51.013670425542,11.6444159413612,51.009302829,11.63749261,51.0171626260001,11.6538903490001,536642.463782163,"prop_swf.2015",150,0
"Dornburg","signal16","D_AF_r1_4m",4.4382,2016,4,"poplar","barley",51.013670425542,11.6444159413612,51.009302829,11.63749261,51.0171626260001,11.6538903490001,536642.463782163,"prop_swf.2015",200,0
"Dornburg","signal16","D_AF_r1_4m",4.4382,2016,4,"poplar","barley",51.013670425542,11.6444159413612,51.009302829,11.63749261,51.0171626260001,11.6538903490001,536642.463782163,"prop_swf.2015",250,0
