"year","tree_age_years","site","crop","plot","yield_straw","yield","data_id","yield_unit","distance_to_tree_strip","field","lat","lon","orientation","soil_type","tree_species","fertilizer","sample_name_db","row","transect","direction","yield_total","aspect","sd_yield","n","crop_unified","yield_tha","yield_straw_tha","yield_total_tha","harvestyear","treeage"
2019,NA,"Wendhausen","silage maize","W-AF-r3",NA,0.530663980491586,"wendhausen1920","t/ha",1,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"maize",0.530663980491586,NA,NA,2013,6
2019,NA,"Wendhausen","silage maize","W-AF-r3",NA,10.2017818501442,"wendhausen1920","t/ha",4,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"maize",10.2017818501442,NA,NA,2013,6
2019,NA,"Wendhausen","silage maize","W-AF-r3",NA,12.4626634317739,"wendhausen1920","t/ha",7,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"maize",12.4626634317739,NA,NA,2013,6
2019,NA,"Wendhausen","silage maize","W-AF-r3",NA,16.9812205418546,"wendhausen1920","t/ha",24,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"maize",16.9812205418546,NA,NA,2013,6
2019,NA,"Wendhausen","silage maize","W-AF-r4",NA,0.0804483333333333,"wendhausen1920","t/ha",1,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"maize",0.0804483333333333,NA,NA,2013,6
2019,NA,"Wendhausen","silage maize","W-AF-r4",NA,12.1793294926038,"wendhausen1920","t/ha",4,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"maize",12.1793294926038,NA,NA,2013,6
2019,NA,"Wendhausen","silage maize","W-AF-r4",NA,14.9289304101732,"wendhausen1920","t/ha",7,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"maize",14.9289304101732,NA,NA,2013,6
2019,NA,"Wendhausen","silage maize","W-AF-r4",NA,16.7839859167564,"wendhausen1920","t/ha",24,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"maize",16.7839859167564,NA,NA,2013,6
2020,NA,"Wendhausen","silage maize","W-AF-r1",NA,1.00618149967096,"wendhausen1920","t/ha",1,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"maize",1.00618149967096,NA,NA,2013,7
2020,NA,"Wendhausen","silage maize","W-AF-r1",NA,13.1872331951148,"wendhausen1920","t/ha",4,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"maize",13.1872331951148,NA,NA,2013,7
2020,NA,"Wendhausen","silage maize","W-AF-r1",NA,16.4948943240754,"wendhausen1920","t/ha",7,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"maize",16.4948943240754,NA,NA,2013,7
2020,NA,"Wendhausen","silage maize","W-AF-r1",NA,20.0387278584006,"wendhausen1920","t/ha",24,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"maize",20.0387278584006,NA,NA,2013,7
2020,NA,"Wendhausen","silage maize","W-AF-r2",NA,0.653876627610367,"wendhausen1920","t/ha",1,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"maize",0.653876627610367,NA,NA,2013,7
2020,NA,"Wendhausen","silage maize","W-AF-r2",NA,8.96104159137013,"wendhausen1920","t/ha",4,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"maize",8.96104159137013,NA,NA,2013,7
2020,NA,"Wendhausen","silage maize","W-AF-r2",NA,17.7209375794879,"wendhausen1920","t/ha",7,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"maize",17.7209375794879,NA,NA,2013,7
2020,NA,"Wendhausen","silage maize","W-AF-r2",NA,18.1142855638754,"wendhausen1920","t/ha",24,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"maize",18.1142855638754,NA,NA,2013,7
