"field","year","crop_unified","distance_to_tree_strip","yield_tha","fert_N","temp_C_mean","precip_mm_sum","sun_MJ_m2_mean","AFage","treeage","clay","sand","silt","l_shdi","l_ed","l_np","l_contag","mean_slope","photo_path","log_AFage","log_dist","dist_bin","yield_rel","swf_mean","swf_max","swf_nearfield","swf_slope","swf_n_radii","swf_d100","swf_d200","swf_d300","swf_d400","swf_d500","swf_d600","swf_d700","swf_d800","swf_d900","swf_d1000","PC1_s","PC1_c"
"Dornburg","2016","barley",1,3.644875,45,12.4308372020721,25.4642863273621,18.210987663269,9,2,322,160,519,0.860414296032738,29.9992247351766,134,75.6323772939911,1.06863942697644,"C3",2.30258509299405,0,"1",0.833544156343486,0.00327789160924485,0.0084773986496715,0.00400262467191601,2.3099324377666e-06,10,0.00400262467191601,0.000811641254565482,0.00416731781007449,0.00575933531605532,0.00120903320523338,0.000557147405284941,0.00265555268690296,0.000824912353062487,0.00431395273968192,0.0084773986496715,1.72663300423133,1.4257365725104
"Dornburg","2016","barley",4,4.748225,45,12.4308372020721,25.4642863273621,18.210987663269,9,2,322,160,519,0.860414296032738,29.9992247351766,134,75.6323772939911,1.06863942697644,"C3",2.30258509299405,1.38629436111989,"4",1.0858685693622,0.00327789160924485,0.0084773986496715,0.00400262467191601,2.3099324377666e-06,10,0.00400262467191601,0.000811641254565482,0.00416731781007449,0.00575933531605532,0.00120903320523338,0.000557147405284941,0.00265555268690296,0.000824912353062487,0.00431395273968192,0.0084773986496715,1.72663300423133,1.4257365725104
"Dornburg","2016","barley",7,4.81515,45,12.4308372020721,25.4642863273621,18.210987663269,9,2,322,160,519,0.860414296032738,29.9992247351766,134,75.6323772939911,1.06863942697644,"C3",2.30258509299405,1.94591014905531,"7",1.10117360524499,0.00327789160924485,0.0084773986496715,0.00400262467191601,2.3099324377666e-06,10,0.00400262467191601,0.000811641254565482,0.00416731781007449,0.00575933531605532,0.00120903320523338,0.000557147405284941,0.00265555268690296,0.000824912353062487,0.00431395273968192,0.0084773986496715,1.72663300423133,1.4257365725104
"Dornburg","2016","barley",24,4.282725,45,12.4308372020721,25.4642863273621,18.210987663269,9,2,322,160,519,0.860414296032738,29.9992247351766,134,75.6323772939911,1.06863942697644,"C3",2.30258509299405,3.17805383034795,"24",0.979413669049324,0.00327789160924485,0.0084773986496715,0.00400262467191601,2.3099324377666e-06,10,0.00400262467191601,0.000811641254565482,0.00416731781007449,0.00575933531605532,0.00120903320523338,0.000557147405284941,0.00265555268690296,0.000824912353062487,0.00431395273968192,0.0084773986496715,1.72663300423133,1.4257365725104
"Dornburg","2017","rapeseed",1,1.534,105,8.7979241176085,59.4055788516998,13.6729174960743,10,3,322,160,519,0.860414296032738,29.9992247351766,134,75.6323772939911,1.06863942697644,"C3",2.39789527279837,0,"1",0.66317211564442,0.0224946329725667,0.0390165962271931,0.0390165962271931,-5.22733869834942e-07,10,0.0390165962271931,0.0210511895520343,0.0132743362831858,0.01811970889648,0.015114462332722,0.0161229728883601,0.0271862124992746,0.0261513914054683,0.0214479248436353,0.0274615347973134,1.72663300423133,-1.24700769901978
"Dornburg","2017","rapeseed",4,2.1565,105,8.7979241176085,59.4055788516998,13.6729174960743,10,3,322,160,519,0.860414296032738,29.9992247351766,134,75.6323772939911,1.06863942697644,"C3",2.39789527279837,1.38629436111989,"4",0.932288570656579,0.0224946329725667,0.0390165962271931,0.0390165962271931,-5.22733869834942e-07,10,0.0390165962271931,0.0210511895520343,0.0132743362831858,0.01811970889648,0.015114462332722,0.0161229728883601,0.0271862124992746,0.0261513914054683,0.0214479248436353,0.0274615347973134,1.72663300423133,-1.24700769901978
"Dornburg","2017","rapeseed",7,2.16125,105,8.7979241176085,59.4055788516998,13.6729174960743,10,3,322,160,519,0.860414296032738,29.9992247351766,134,75.6323772939911,1.06863942697644,"C3",2.39789527279837,1.94591014905531,"7",0.934342069710889,0.0224946329725667,0.0390165962271931,0.0390165962271931,-5.22733869834942e-07,10,0.0390165962271931,0.0210511895520343,0.0132743362831858,0.01811970889648,0.015114462332722,0.0161229728883601,0.0271862124992746,0.0261513914054683,0.0214479248436353,0.0274615347973134,1.72663300423133,-1.24700769901978
"Dornburg","2017","rapeseed",24,3.40075,105,8.7979241176085,59.4055788516998,13.6729174960743,10,3,322,160,519,0.860414296032738,29.9992247351766,134,75.6323772939911,1.06863942697644,"C3",2.39789527279837,3.17805383034795,"24",1.47019724398811,0.0224946329725667,0.0390165962271931,0.0390165962271931,-5.22733869834942e-07,10,0.0390165962271931,0.0210511895520343,0.0132743362831858,0.01811970889648,0.015114462332722,0.0161229728883601,0.0271862124992746,0.0261513914054683,0.0214479248436353,0.0274615347973134,1.72663300423133,-1.24700769901978
"Dornburg","2018","wheat",1,4.3325,213,9.00994617938995,37.8427922725677,14.7767956733704,11,4,322,160,519,0.834993875830094,29.192244532621,118,71.4215313695068,1.06863942697644,"C3",2.484906649788,0,"1",0.690644614924778,0.0224946329725667,0.0390165962271931,0.0390165962271931,-5.22733869834942e-07,10,0.0390165962271931,0.0210511895520343,0.0132743362831858,0.01811970889648,0.015114462332722,0.0161229728883601,0.0271862124992746,0.0261513914054683,0.0214479248436353,0.0274615347973134,1.72663300423133,-0.30920705357799
"Dornburg","2018","wheat",4,6.5125,213,9.00994617938995,37.8427922725677,14.7767956733704,11,4,322,160,519,0.834993875830094,29.192244532621,118,71.4215313695068,1.06863942697644,"C3",2.484906649788,1.38629436111989,"4",1.03815881239414,0.0224946329725667,0.0390165962271931,0.0390165962271931,-5.22733869834942e-07,10,0.0390165962271931,0.0210511895520343,0.0132743362831858,0.01811970889648,0.015114462332722,0.0161229728883601,0.0271862124992746,0.0261513914054683,0.0214479248436353,0.0274615347973134,1.72663300423133,-0.30920705357799
